"STUDYID","DOMAIN","USUBJID","MASEQ","MAREFID","MATESTCD","MATEST","MAORRES","MASTRESC","MASPEC","MAANTREG","MALAT","MADTC","MADY"
"S-00001","MA","S-00001-556","180","180","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
"S-00001","MA","S-00001-556","180","180","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
"S-00001","MA","S-00001-556","180","180","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
"S-00001","MA","S-00001-556","180","180","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
"S-00001","MA","S-00001-556","180","180","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
"S-00001","MA","S-00001-556","180","180","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
"S-00001","MA","S-00001-556","180","180","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
"S-00001","MA","S-00001-556","180","180","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
"S-00001","MA","S-00001-556","180","180","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
"S-00001","MA","S-00001-556","180","180","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
"S-00001","MA","S-00001-556","180","180","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
"S-00001","MA","S-00001-556","180","180","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
"S-00001","MA","S-00001-556","180","180","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
"S-00001","MA","S-00001-556","180","180","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
"S-00001","MA","S-00001-556","180","180","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
